ml_data_source	treatment
GSM774118_CF333-1991a.CEL	NA
GSM774119_CF333-1991b.CEL	NA
GSM774120_CF333-1991c.CEL	NA
GSM774121_CF333-1997a.CEL	NA
GSM774122_CF333-1997b.CEL	NA
GSM774123_CF333-1997c.CEL	NA
GSM774124_CF333-2003a.CEL	NA
GSM774125_CF333-2003b.CEL	NA
GSM774126_CF333-2003c.CEL	NA
GSM774127_CF333-2005a.CEL	NA
GSM774128_CF333-2005b.CEL	NA
GSM774129_CF333-2005c.CEL	NA
GSM774130_CF333-2007a.CEL	NA
GSM774131_CF333-2007b.CEL	NA
GSM774132_CF333-2007c.CEL	NA
GSM774133_B6-0_1.CEL	NA
GSM774134_B6-0_2.CEL	NA
GSM774135_B6-0_3.CEL	NA
GSM774136_B6-4_1.CEL	NA
GSM774137_B6-4_2.CEL	NA
GSM774138_B6-4_3.CEL	NA
GSM774139_B12-0_1.CEL	NA
GSM774140_B12-0_2.CEL	NA
GSM774141_B12-0_3.CEL	NA
GSM774142_B12-4_1.CEL	NA
GSM774143_B12-4_2.CEL	NA
GSM774144_B12-4_3.CEL	NA
GSM774145_B12-7_1.CEL	NA
GSM774146_B12-7_2.CEL	NA
GSM774147_B12-7_3.CEL	NA
GSM774148_B38-1_1.CEL	NA
GSM774149_B38-1_2.CEL	NA
GSM774150_B38-1_3.CEL	NA
GSM774151_B38-2M_1.CEL	NA
GSM774152_B38-2M_2.CEL	NA
GSM774153_B38-2M_3.CEL	NA
GSM774154_B38-2NM_1.CEL	NA
GSM774155_B38-2NM_2.CEL	NA
GSM774156_B38-2NM_3.CEL	NA
GSM774157_B38-6M_1.CEL	NA
GSM774158_B38-6M_2.CEL	NA
GSM774159_B38-6M_3.CEL	NA
GSM774160_PAO1a.CEL	NA
GSM774161_PAO1b.CEL	NA
GSM774162_PAO1c.CEL	NA
GSM767700.CEL	NA
GSM767701.CEL	NA
GSM767702.CEL	NA
GSM767703.CEL	NA
GSM767704.CEL	NA
GSM767705.CEL	NA
	NA
	NA
	NA
	NA
H_1.CEL	phosphate
H_3.CEL	phosphate
H_5.CEL	phosphate
L_12.CEL	phosphate
L_13.CEL	phosphate
L_14.CEL	phosphate
GSM424832.CEL	NA
GSM424833.CEL	NA
GSM560754.CEL	NA
GSM560755.CEL	NA
GSM560756.CEL	NA
GSM560757.CEL	NA
GSM560758.CEL	NA
GSM560759.CEL	NA
GSM629176.CEL	NA
GSM629177.CEL	NA
GSM629178.CEL	NA
GSM629179.CEL	NA
GSM743001_PAO1-PC4-a.CEL	NA
GSM743002_PAO1-PC4-b.CEL	NA
GSM743003_PAO1-PC4-c.CEL	NA
GSM743004_PAO1-PC24-a.CEL	NA
GSM743005_PAO1-PC24-b.CEL	NA
GSM743006_PAO1-PC24-c.CEL	NA
GSM743007_PAO1-SC24-a.CEL	NA
GSM743008_PAO1-SC24-b.CEL	NA
GSM743009_PAO1-SC24-c.CEL	NA
GSM717419.CEL	NA
GSM717420.CEL	NA
GSM717421.CEL	NA
GSM717422.CEL	NA
GSM717423.CEL	NA
GSM717424.CEL	NA
GSM432866.CEL	NA
GSM432867.CEL	NA
GSM610406.CEL	NA
GSM610407.CEL	NA
GSM537320.CEL	NA
GSM537321.CEL	NA
GSM567541.CEL	NA
GSM567542.CEL	NA
GSM567543.CEL	NA
GSM567544.CEL	NA
glu_plus_nt_2_8-25-09_s2.CEL	NA
AKGlu_plus_nt_7-8-09_s1.CEL	NA
Nag_cDNA_1-30-09_S2.CEL	NA
Nag_cDNA_2-26-09_s1.CEL	NA
GSM551147.CEL	NA
GSM551148.CEL	NA
GSM551149.CEL	NA
GSM551150.CEL	NA
GSM551151.CEL	NA
GSM551152.CEL	NA
GSM617286.CEL	NA
GSM617287.CEL	NA
GSM617288.CEL	NA
GSM617289.CEL	NA
GSM617290.CEL	NA
GSM617291.CEL	NA
GSM617292.CEL	NA
GSM617293.CEL	NA
GSM617294.CEL	NA
GSM617295.CEL	NA
GSM617296.CEL	NA
GSM617297.CEL	NA
GSM617298.CEL	NA
GSM617299.CEL	NA
GSM617300.CEL	NA
GSM617301.CEL	NA
GSM617298.CEL	NA
GSM617299.CEL	NA
GSM617300.CEL	NA
GSM617301.CEL	NA
GSM617286.CEL	NA
GSM617287.CEL	NA
GSM617288.CEL	NA
GSM617289.CEL	NA
GSM617290.CEL	NA
GSM617291.CEL	NA
GSM617292.CEL	NA
GSM617293.CEL	NA
GSM617294.CEL	NA
GSM617295.CEL	NA
GSM617296.CEL	NA
GSM617297.CEL	NA
GSM177216.CEL	NA
GSM177218.CEL	NA
GSM254432.CEL	NA
GSM307134.CEL	NA
GSM307135.CEL	NA
GSM562109_PAK_GI_colonization_2_6-9-04.CEL	NA
GSM562110_PAK_GI_colonization_4_6-9-04.CEL	NA
GSM562111_PAK_GI_colonization_5-12-04.CEL	NA
GSM562112_Koh_PAK_H2O_1.CEL	NA
GSM562113_Koh_PAK_H2O_2.CEL	NA
GSM562114_Koh_PAK_H2O_3.CEL	NA
GSM424829.CEL	NA
GSM424830.CEL	NA
GSM424831.CEL	NA
GSM424832.CEL	NA
GSM424833.CEL	NA
GSM424834.CEL	NA
GSM424835.CEL	NA
GSM424836.CEL	NA
GSM429472.CEL	NA
GSM429475.CEL	NA
GSM429476.CEL	NA
GSM429477.CEL	NA
GSM429478.CEL	NA
GSM429479.CEL	NA
GSM429480.CEL	NA
GSM429481.CEL	NA
GSM546244.CEL	NA
GSM546245.CEL	NA
GSM546246.CEL	NA
GSM546247.CEL	NA
GSM546248.CEL	NA
GSM546249.CEL	NA
GSM546250.CEL	NA
GSM546251.CEL	NA
GSM546252.CEL	NA
GSM546253.CEL	NA
GSM546254.CEL	NA
GSM546255.CEL	NA
GSM546256.CEL	NA
GSM546257.CEL	NA
GSM546258.CEL	NA
GSM546259.CEL	NA
GSM546260.CEL	NA
GSM546261.CEL	NA
GSM546262.CEL	NA
GSM546263.CEL	NA
GSM546264.CEL	NA
GSM546265.CEL	NA
GSM546266.CEL	NA
GSM546267.CEL	NA
GSM546268.CEL	NA
GSM546269.CEL	NA
GSM546270.CEL	NA
GSM546271.CEL	NA
GSM546272.CEL	NA
GSM546273.CEL	NA
GSM546274.CEL	NA
GSM546275.CEL	NA
GSM546276.CEL	NA
GSM546277.CEL	NA
GSM546278.CEL	NA
GSM546279.CEL	NA
GSM546280.CEL	NA
GSM546281.CEL	NA
GSM462061.CEL	NA
GSM462062.CEL	NA
GSM462063.CEL	NA
GSM462064.CEL	NA
GSM462352.CEL	NA
GSM462353.CEL	NA
GSM462354.CEL	NA
GSM462355.CEL	NA
GSM541640.CEL	NA
GSM541641.CEL	NA
GSM541642.CEL	NA
GSM541643.CEL	NA
GSM541644.CEL	NA
GSM541645.CEL	NA
GSM541646.CEL	NA
GSM541647.CEL	NA
GSM541648.CEL	NA
GSM541649.CEL	NA
TUBS0091.CEL	NA
TUBS0092.CEL	NA
TUBS0093.CEL	NA
TUBS0094.CEL	NA
TUBS0095.CEL	NA
TUBS0096.CEL	NA
TUBS0088.CEL	NA
TUBS0089.CEL	NA
TUBS0090.CEL	NA
PA14_3-23-07_s2.CEL	NA
05_PA14000-4-2_5-10-07_S2.CEL	NA
PA14_cDNA_labeled_4-09-08_S2.CEL	NA
HH-PA14_7-6-09_7-8-09_s1.CEL	NA
PA14-Aro_10-5-07_s2.CEL	NA
KP_PA14_5-28_5-30-08_s2.CEL	NA
GPphhRminus_11-4-09_s2.CEL	NA
GPphhRminus_11-30-09_12-3-09_s1.CEL	NA
GSM334310.CEL	NA
GSM334311.CEL	colistin
GSM334312.CEL	NA
GSM334313.CEL	colistin
GSM334314.CEL	colistin
GSM334315.CEL	NA
GSM335182.CEL	NA
GSM335183.CEL	norepinephrine
GSM366976.CEL	norepinephrine
GSM366977.CEL	NA
GSM432860.CEL	NA
GSM432861.CEL	NA
GSM432862.CEL	NA
GSM432863.CEL	NA
GSM432864.CEL	NA
GSM432865.CEL	NA
GSM432866.CEL	NA
GSM432867.CEL	NA
GSM432868.CEL	NA
GSM432869.CEL	NA
GSM432870.CEL	NA
GSM432871.CEL	NA
GSM156153.CEL	NA
GSM156154.CEL	NA
GSM156155.CEL	NA
GSM156156.CEL	NA
GSM156157.CEL	NA
GSM156158.CEL	NA
GSM156172.CEL	NA
GSM156173.CEL	NA
GSM156174.CEL	NA
GSM156175.CEL	NA
GSM261915.CEL	NA
GSM261916.CEL	NA
GSM261917.CEL	NA
GSM261918.CEL	NA
GSM261919.CEL	NA
GSM261920.CEL	NA
GSM261921.CEL	NA
GSM261922.CEL	NA
GSM261923.CEL	NA
GSM261924.CEL	NA
GSM261925.CEL	NA
GSM261926.CEL	NA
GSM261927.CEL	NA
GSM261928.CEL	NA
GSM261929.CEL	NA
GSM261930.CEL	NA
GSM261931.CEL	NA
GSM261932.CEL	NA
GSM261933.CEL	NA
GSM261934.CEL	NA
GSM261935.CEL	NA
GSM261936.CEL	NA
GSM261937.CEL	NA
GSM261938.CEL	NA
GSM349042.CEL	NA
GSM349045.CEL	NA
GSM349047.CEL	NA
GSM349048.CEL	NA
GSM375702.CEL	NA
GSM375703.CEL	NA
GSM244065.CEL	piperacillin
GSM244066.CEL	piperacillin
GSM393044.CEL	piperacillin
GSM393045.CEL	piperacillin
GSM356953.CEL	NA
GSM356954.CEL	NA
GSM356955.CEL	NA
GSM356956.CEL	clorhexidine
GSM356957.CEL	clorhexidine
GSM356958.CEL	clorhexidine
GSM356959.CEL	clorhexidine
GSM356960.CEL	clorhexidine
GSM356961.CEL	clorhexidine
GSM242671.CEL	NA
GSM242676.CEL	NA
GSM242677.CEL	uracil
GSM318716.CEL	uracil
GSM307112.CEL	NA
GSM307113.CEL	NA
GSM307114.CEL	NA
GSM307115.CEL	NA
GSM307116.CEL	NA
GSM307117.CEL	NA
GSM307118.CEL	NA
GSM307119.CEL	NA
GSM307120.CEL	NA
GSM307121.CEL	NA
GSM307122.CEL	NA
GSM307123.CEL	NA
GSM307124.CEL	NA
GSM307125.CEL	NA
GSM307126.CEL	NA
	NA
	NA
	PQS
	PQS
	NA
	NA
	PQS
	PQS
	NA
	NA
	PQS
	PQS
GSM290747.CEL	NA
GSM290748.CEL	NA
GSM290749.CEL	NA
GSM290750.CEL	NA
GSM290751.CEL	NA
GSM290752.CEL	NA
GSM252559.CEL	NA
GSM252560.CEL	NA
GSM252561.CEL	tobramycin
GSM252562.CEL	tobramycin
GSM197237.CEL	NA
GSM197238.CEL	NA
GSM252496.CEL	NA
GSM252501.CEL	NA
GSM252505.CEL	NA
GSM252506.CEL	tobramycin
GSM252507.CEL	tobramycin
GSM252508.CEL	tobramycin
GSM252559.CEL	NA
GSM252560.CEL	NA
GSM252561.CEL	tobramycin
GSM252562.CEL	tobramycin
GSM252496.CEL	NA
GSM252501.CEL	NA
GSM252505.CEL	NA
GSM252506.CEL	tobramycin
GSM252507.CEL	tobramycin
GSM252508.CEL	tobramycin
GSM251201.CEL	NA
GSM251202.CEL	NA
GSM251203.CEL	NA
GSM251204.CEL	NA
GSM251205.CEL	NA
GSM251206.CEL	NA
GSM244065.CEL	piperacillin
GSM244066.CEL	piperacillin
GSM244067.CEL	piperacillin
GSM244068.CEL	piperacillin
GSM244069.CEL	piperacillin
GSM244070.CEL	piperacillin
GSM244071.CEL	piperacillin
GSM244072.CEL	piperacillin
GSM243221.CEL	NA
GSM243222.CEL	NA
GSM243223.CEL	NA
GSM243224.CEL	NA
GSM208602.CEL	NA
GSM208603.CEL	NA
GSM208604.CEL	NA
GSM208605.CEL	NA
GSM208606.CEL	NA
GSM208607.CEL	NA
GSM208608.CEL	NA
GSM208609.CEL	NA
GSM208610.CEL	NA
GSM208611.CEL	NA
GSM208612.CEL	NA
GSM208613.CEL	NA
GSM208614.CEL	NA
GSM208615.CEL	NA
GSM208616.CEL	NA
GSM208617.CEL	NA
GSM208618.CEL	NA
GSM208619.CEL	NA
GSM208620.CEL	NA
GSM208621.CEL	NA
GSM187265.CEL	NA
GSM187266.CEL	NA
GSM187267.CEL	NA
GSM187270.CEL	NA
GSM187281.CEL	NA
GSM187282.CEL	NA
GSM187283.CEL	NA
GSM187284.CEL	NA
GSM198186.CEL	NA
GSM198187.CEL	NA
GSM198188.CEL	NA
GSM198189.CEL	NA
GSM198190.CEL	NA
GSM198191.CEL	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
GSM175247.CEL	NA
GSM175248.CEL	NA
GSM155231.CEL	NA
GSM155239.CEL	NA
GSM155240.CEL	NA
GSM155241.CEL	NA
GSM155242.CEL	NA
GSM155243.CEL	NA
GSM155244.CEL	NA
GSM155245.CEL	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
GSM92164.CEL	NA
GSM92165.CEL	NA
GSM92166.CEL	NA
GSM92167.CEL	NA
GSM92168.CEL	NA
GSM92169.CEL	NA
GSM92170.CEL	NA
GSM92171.CEL	NA
GSM92172.CEL	NA
GSM92173.CEL	NA
GSM92174.CEL	NA
GSM92175.CEL	NA
GSM92176.CEL	NA
GSM92177.CEL	NA
GSM92178.CEL	NA
GSM92179.CEL	NA
GSM92180.CEL	NA
GSM92181.CEL	NA
GSM92182.CEL	NA
GSM92183.CEL	NA
GSM92184.CEL	NA
GSM92185.CEL	NA
GSM92186.CEL	NA
  	NA
GSM92188.CEL	NA
GSM92189.CEL	NA
GSM92190.CEL	NA
GSM92191.CEL	NA
GSM92192.CEL	NA
GSM92193.CEL	NA
GSM45588.CEL	NA
GSM45589.CEL	NA
GSM45590.CEL	NA
GSM45591.CEL	NA
GSM267248.CEL	NA
GSM267249.CEL	NA
GSM267250.CEL	NA
GSM267251.CEL	NA
GSM267252.CEL	NA
GSM267253.CEL	NA
GSM267254.CEL	NA
GSM267255.CEL	NA
GSM267256.CEL	NA
GSM267257.CEL	NA
GSM267258.CEL	NA
GSM267259.CEL	NA
54375-4-05.CEL	NA
dPA54375-18-05.CEL	NA
WT12935-4-05.CEL	NA
WT12935-18-05.CEL	NA
GSM234928.CEL	NA
GSM234929.CEL	NA
GSM199982.CEL	NA
GSM199983.CEL	NA
GSM199984.CEL	NA
GSM199985.CEL	NA
GSM199986.CEL	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	ciprofloxacin
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
MSC_01.CEL	NA
MSC_02.CEL	NA
MSC_03.CEL	NA
MSC_04.CEL	NA
MSC_05.CEL	NA
MSC_06.CEL	NA
MSC_07.CEL	NA
MSC_08.CEL	NA
MSC_09.CEL	NA
MSC_10.CEL	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
	NA
aerobic_NO3_1.CEL	NA
aerobic_NO3_2.CEL	NA
anaerobic_NO3_1.CEL	NA
anaerobic_NO3_2.CEL	NA
DC2.CEL	NA
DB1.CEL	NA
DC3.CEL	NA
DB3.CEL	NA
DC1.CEL	NA
